Traditional,Simplified,Pinyin,Meaning
玉山,玉山,Yùshān,"N: Jade Mountain, Taiwan's highest mountain [PAVC-304]"
火山帶,火山带,huǒshāndài,N: volcanic range [PAVC-304]
濁水溪,浊水溪,Zhuóshuǐxī,"N: river in Taiwan, originating in Nantou, and later separating Zhanghua and Yunlin counties (Zhuoshui) [PAVC-304]"
地形,地形,dìxíng,"N: topography, terrain [PAVC-304]"
稻米,稻米,dàomǐ,N: rice paddy [PAVC-305]
甘蔗,甘蔗,gānzhè,N: sugarcane [PAVC-305]
嘉義縣,嘉义县,Jiāyìxiàn,"N: region in central Taiwan, intersected by the Tropic of Cancer (Jiayi county) [PAVC-305]"
詢問,询问,xúnwèn,"V: to formally inquire, to ask about [PAVC-305]"
事實,事实,shìshí,N: fact [PAVC-305]
意料之外,意料之外,yìliàozhīwài,N: contrary to expectation [PAVC-305]
仍然,仍然,réngrán,"A: still, yet [PAVC-305]"
受詞,受词,shòucí,N: object (in linguistics) [PAVC-305]
預想,预想,yùxiǎng,"V: to anticipate, to expect [PAVC-305]"
季風,季风,jìfēng,N: monsoon [PAVC-305]
梅雨,梅雨,méiyǔ,"N: rainy season in spring (literally, ""plum rain"") [PAVC-305]"
甘薯,甘薯,gānshǔ,"N: sweet potato, yam [PAVC-305]"
漁業,渔业,yúyè,"N: fishery, fishing industry [PAVC-305]"
備註,备注,bèizhù,"N: annotation, remarks [PAVC-306]"
處置,处置,chǔzhì,"V: to deal with, to manage, to dispose of [PAVC-306]"
作用,作用,zuòyòng,"N: action, function [PAVC-306]"
穩固,稳固,wěngù,"SV, V: to be firm, to be stable; to stabilize [PAVC-306]"
客套話,客套话,kètàohuà,"N: polite formula, civilities [PAVC-306]"
重疊,重叠,chóngdié,"N: reduplication, duplication (in linguistics) [PAVC-306]"
欲,欲,yù,"A: about to, on the point of [PAVC-306]"
疑惑,疑惑,yíhuò,"N, V: doubt; to be perplexed, to be uncertain [PAVC-306]"
自言自語,自言自语,zìyánzìyǔ,"V: to think aloud, to soliloquize, to talk oneself [PAVC-306]"
數學,数学,shùxué,N: mathematics [PAVC-306]
化學,化学,huàxué,N: chemistry [PAVC-306]
公式,公式,gōngshì,"N: formula, form [PAVC-306]"
催,催,cuī,"V: to urge, to hurry along, to hasten [PAVC-306]"
山嶺,山岭,shānlǐng,"N: mountain ridge, mountain range, mountain chain [PAVC-307]"
受訓,受训,shòuxùn,VO: to receive or undergo training [PAVC-307]
甄選,甄选,zhēnxuǎn,"V: to select, to pick [PAVC-307]"
分發,分发,fēnfā,"V: to distribute, to issue, to assign to a post or job [PAVC-307]"
碩士,硕士,shuòshì,N: Master of Arts (MA) degree [PAVC-307]
幼稚園,幼稚园,yòuzhìyuán,N: kindergarten [PAVC-307]
鮮明,鲜明,xiānmíng,"SV: to be distinct, to be distinctive, (of color) to be bright [PAVC-307]"
比照,比照,bǐzhào,"CV, V: according to, compared to; to contrast [PAVC-307]"
駁,驳,bó,"V: to refute, to contradict [PAVC-307]"
慶幸,庆幸,qìngxìng,V: to rejoice at a good outcome [PAVC-307]
婉轉,婉转,wǎnzhuǎn,"A, SV: indirectly, tactfully; to be tactful, to be sweet and agreeable [PAVC-307]"
此刻,此刻,cǐkè,"A: at this moment, now, at present [PAVC-307]"
能行,能行,néngxíng,"V: to be capable of, to have the ability [PAVC-307]"
稍許,稍许,shāoxǔ,"A: slightly, rather [PAVC-307]"
無奈,无奈,wúnài,"A, CONJ, V: unfortunately; but, however; cannot help but, to have no alternative [PAVC-307]"
作弊,作弊,zuòbì,"VO: to cheat on a test or exam, to practice fraud or corruption [PAVC-307]"
偷看,偷看,tōukàn,"V: to steal a glance, to peek [PAVC-307]"
侮辱,侮辱,wǔrǔ,"N, V: insult, humiliation; to insult, to humiliate [PAVC-307]"
嫉妒,嫉妒,jídù,"V: to be jealous of, to envy [PAVC-307]"
學區,学区,xuéqū,N: school district [PAVC-307]
新新人類,新新人类,xīnxīnrénlèi,N: Generation X [PAVC-307]
草莓族,草莓族,cǎoméizú,"N: people who cannot endure any stress or pressure, ""strawberry generation"" [PAVC-307]"
捲鋪蓋,卷铺盖,juǎnpūgài,"VO: to be fired from a job, to abandon a job (literally, to roll up one's bedding) [PAVC-308]"
介於,介于,jièyú,PRON: (to be situated) in between [PAVC-308]
兩者,两者,liǎngzhě,"N: both sides, both parties [PAVC-308]"
口語,口语,kǒuyǔ,"N: vernacular (spoken) language, colloquial speech [PAVC-308]"
以為然,以为然,yǐwéirán,"V: to approve, to consider just (in writing) [PAVC-308]"
動量詞,动量词,dòngliàngcí,N: verbal measure word [PAVC-308]
嚴肅,严肃,yánsù,"SV, V: to be serious, to be solemn; to strictly enforce [PAVC-308]"
盡,尽,jìn,"RE: to use up, to exhaust [PAVC-308]"
追究,追究,zhuījiù,"V: to look into, to find out, to investigate [PAVC-308]"
少數,少数,shǎoshù,"N: a few, a small number (of), minority [PAVC-308]"
時間詞,时间词,shíjiāncí,N: time word (grammatical term) [PAVC-308]
職務,职务,zhíwù,"N: post, job, official duties [PAVC-308]"
企管碩士,企管硕士,qìguǎnshuòshì,N: Master of Business Administration (MBA) degree [PAVC-308]
神氣,神气,shénqì,"SV: to be spirited, to be vigorous, to be cocky, to be overweening, to be triumphant [PAVC-308]"
教訓,教训,jiàoxùn,"N, V: lesson, moral; to chide; to lecture somebody [PAVC-308]"
依序,依序,yīxù,"A: in order, in rank [PAVC-308]"
密碼,密码,mìmǎ,"N: password, secret code, cipher [PAVC-308]"
確認,确认,quèrèn,"V: to affirm, to confirm, to identify with certainty, (密碼～) password confirmation [PAVC-308]"
婚姻狀況,婚姻状况,hūnyīnzhuàngkuàng,N: marital status [PAVC-308]
服役,服役,fúyì,"VO: to be on active service, to enlist in the army [PAVC-308]"
退伍,退伍,tuìwǔ,VO: to be demobilized (after serving the army) [PAVC-308]
電子郵件,电子邮件,diànzǐyóujiàn,N: e-mail [PAVC-308]
肄業,肄业,yìyè,"VO: to study at school or college, stopping short of graduation [PAVC-308]"
就讀,就读,jiùdú,V: to attend school [PAVC-308]
在學,在学,zàixué,V: to be at school [PAVC-308]
類別,类别,lèibié,"N: classification, category [PAVC-308]"
從事,从事,cóngshì,"V: to go in for, to be engaged in, (希望～工作) desired job [PAVC-308]"
履歷表,履历表,lǚlìbiǎo,"N: biographical sketch, curriculum vitae [PAVC-308]"
基本,基本,jīběn,"SV: to be basic, to be fundamental, to be elementary, to be essential [PAVC-308]"
笨得離譜,笨得离谱,bèndelípǔ,SV: to be stupid beyond the reasonable limits [PAVC-309]
遺憾,遗憾,yíhàn,"N, SV: regret, pity; to be regretful, to be pitiable [PAVC-309]"
形容,形容,xíngróng,V: to describe [PAVC-309]
埋怨,埋怨,mányuàn,"N, V: blame, complaint, grumble; to blame, to complain, to grumble [PAVC-309]"
胸部,胸部,xiōngbù,"N: chest, thorax [PAVC-309]"
贊成,赞成,zànchéng,"N, V: approval, endorsement; to approve, to endorse [PAVC-309]"
內在美,内在美,nèizàiměi,"N: inner beauty, beauty of spirit [PAVC-309]"
三圍,三围,sānwéi,N: the vital statistics (the three measurements) of a woman [PAVC-309]
短評,短评,duǎnpíng,"N: short commentary, brief comment or critique [PAVC-309]"
選美,选美,xuǎnměi,N: beauty contest [PAVC-309]
年齡,年龄,niánlíng,N: age [PAVC-309]
裸照,裸照,luǒzhào,N: nude (naked) photo [PAVC-309]
正常,正常,zhèngcháng,"SV: to be normal, to be regular [PAVC-309]"
搭便車,搭便车,dābiànchē,"VO: to catch a ride with someone, to hitchhike [PAVC-310]"
整體,整体,zhěngtǐ,"N: whole, entirety [PAVC-310]"
目的物,目的物,mùdìwù,"N: objective, aim, goal [PAVC-310]"
手段,手段,shǒuduàn,"N: means, method [PAVC-310]"
數字,数字,shùzì,"N: numeral, figure, digit [PAVC-310]"
範疇,范畴,fànchóu,N: category [PAVC-310]
施行,施行,shīxíng,"V: to put in force, to execute, to implement, to apply [PAVC-310]"
尚未,尚未,shàngwèi,PART: not yet [PAVC-310]
聲望,声望,shēngwàng,"N: popularity, prestige [PAVC-310]"
學歷,学历,xuélì,N: record of formal schooling [PAVC-310]
資格,资格,zīgé,N: qualifications [PAVC-310]
承諾,承诺,chéngnuò,"V: to promise to do something, to make a commitment [PAVC-310]"
額頭,额头,étóu,N: forehead [PAVC-310]
下巴,下巴,xiàbā,"N: lower jaw, chin [PAVC-310]"
舞龍,舞龙,wǔlóng,N: dragon dance [PAVC-311]
雙十節,双十节,Shuāngshíjié,N: Double Tenth (October 10) National Day in Taiwan [PAVC-311]
舞獅,舞狮,wǔshī,N: lion dance [PAVC-311]
交代,交代,jiāodài,"V: to explain, to make clear, to brief, to tell [PAVC-311]"
類似,类似,lèisì,V: to be similar to [PAVC-311]
自由經濟,自由经济,zìyóujīngjì,N: free-market economy [PAVC-311]
思想,思想,sīxiǎng,"N: thought, thinking, idea, ideology [PAVC-311]"
和平,和平,hépíng,N: peace [PAVC-311]
相處,相处,xiāngchǔ,V: to get along with one another [PAVC-311]
尾巴,尾巴,wěibā,N: tail [PAVC-311]
電子信,电子信,diànzǐxìn,N: e-mail [PAVC-311]
國父,国父,Guófù,"N: Father of the Nation (of the Republic of China), i.e. Sun Yat-sen (孫逸仙 or 孫中山) [PAVC-311]"
遊行,游行,yóuxíng,"N, V: parade, march, demonstration; to parade, to march, to demonstrate [PAVC-311]"
華僑,华侨,Huáqiáo,"N: ""Overseas Chinese"" [PAVC-311]"
巨蛋體育,巨蛋体育,Jùdàntǐyù,N: (～館) Skydome [PAVC-312]
出乎意料,出乎意料,chūhūyìliào,"VO: to one's amazement, against expectations [PAVC-312]"
讚嘆,赞叹,zàntàn,V: to cry out in admiration [PAVC-312]
明顯,明显,míngxiǎn,"SV: to be clear, to be obvious, to be evident [PAVC-312]"
引出,引出,yǐnchū,"RC: to draw forth, to lead to [PAVC-312]"
有氧舞蹈,有氧舞蹈,yǒuyǎngwǔdǎo,"N: aerobic dancing, aerobics [PAVC-312]"
拳擊,拳击,quánjí,N: boxing [PAVC-312]
乒乓球,乒乓球,pīngpāngqiú,"N: ping-pong, table tennis [PAVC-312]"
曲棍球,曲棍球,qūgùnqiú,N: hockey [PAVC-312]
系刊,系刊,xìkān,N: department journal [PAVC-312]
校慶,校庆,xiàoqìng,N: anniversary of the founding of a school [PAVC-312]
元,元,yuán,"N: monetary unit, dollar [PAVC-312]"
第一名,第一名,dìyīmíng,N: the first place in a competition [PAVC-312]
秒,秒,miǎo,N: second (of time) [PAVC-312]
打破紀錄,打破纪录,dǎpòjìlù,"VO: to break the record, to set a new record [PAVC-312]"
慶賀,庆贺,qìnghè,"V: to congratulate, to celebrate, to rejoice over [PAVC-312]"
端午節,端午节,Duānwǔjié,N: Dragon Boat Festival (the 5th day of the 5th lunar month) [PAVC-313]
龍舟,龙舟,lóngzhōu,"N: dragon boat, imperial boat [PAVC-313]"
燈節,灯节,Dēngjié,N: Lantern Festival (the 15th day of the 1st lunar month) (D…) [PAVC-313]
雙音節,双音节,shuāngyīnjié,N: disyllable [PAVC-313]
化裝舞會,化装舞会,huàzhuāngwǔhuì,"N: fancy-dress ball, costume ball, masquerade [PAVC-313]"
妖怪,妖怪,yāoguài,N: monster [PAVC-313]
魔鬼,魔鬼,móguǐ,N: devil [PAVC-313]
巫婆,巫婆,wūpó,"N: witch, sorceress [PAVC-313]"
打雪仗,打雪仗,dǎxuězhàng,VO: to have a snowball fight [PAVC-313]
堆雪人,堆雪人,duīxuěrén,VO: to make a snowman [PAVC-313]
禱告,祷告,dǎogào,V: to pray [PAVC-313]
上帝,上帝,Shàngdì,N: God [PAVC-313]
清教徒,清教徒,Qīngjiàotú,"N: Puritan (the book mentions ""pilgrim"", which is likely a mistake, unless it was supposed to mean the first European settlers in what is now the United States, but then it should be capitalized) [PAVC-313]"
基督徒,基督徒,Jīdūtú,N: person of Christian confession [PAVC-313]
天主教徒,天主教徒,Tiānzhǔjiàotú,N: person of Catholic confession [PAVC-313]
搗蛋,捣蛋,dǎodàn,"VO: to make trouble, to raise hell [PAVC-313]"
農曆,农历,nónglì,N: lunar calendar [PAVC-313]
元宵,元宵,yuánxiāo,"N: sweet glutinous rice flour ball-shaped dumplings, served for the Lantern Festival [PAVC-313]"
提燈籠,提灯笼,tídēnglóng,VO: to carry a lantern [PAVC-313]
好運,好运,hǎoyùn,IE: good luck [PAVC-313]
詩人,诗人,shīrén,N: poet [PAVC-313]
屈原,屈原,Qū Yuán,N: famous poet of the Warring States period (Qu Yuan) [PAVC-313]
粽子,粽子,zòngzi,N: steamed glutinous rice meat dumplings wrapped in bamboo leaves [PAVC-313]
月球,月球,yuèqiú,N: Moon [PAVC-313]
賞月,赏月,shǎngyuè,VO: to admire the full moon [PAVC-313]
月餅,月饼,yuèbǐng,"N: mooncake, served during the Mid-Autumn Festival [PAVC-313]"
阿姆斯壯,阿姆斯壮,Āmǔsīzhuàng,N: transliteration of Neil Armstrong's surname [PAVC-313]
臆測,臆测,yìcè,"V: to conjecture, to surmise, to assume [PAVC-314]"
妥協,妥协,tuǒxié,"V: to come to terms, to compromise [PAVC-314]"
奈何,奈何,nàihé,"VO: to do something to somebody, to cope or deal with [PAVC-314]"
委屈,委屈,wěiqū,"SV, V: to feel wronged; to wrong somebody [PAVC-314]"
懷疑,怀疑,huáiyí,"N, V: doubt, suspicion, distrust; to doubt, to suspect, to distrust [PAVC-314]"
煮,煮,zhǔ,V: to boil [PAVC-314]
紀念碑,纪念碑,jìniànbēi,"N: monument, memorial [PAVC-314]"
國會山莊,国会山庄,Guóhuì Shānzhuāng,N: Capitol Hill [PAVC-314]
最高法院,最高法院,zuìgāofǎyuàn,N: supreme court [PAVC-314]
憲法,宪法,xiànfǎ,"N: constitution, charter [PAVC-314]"
植物園,植物园,zhíwùyuán,N: botanical garden [PAVC-314]
遊樂園,游乐园,yóulèyuán,N: amusement park [PAVC-314]
雙人房,双人房,shuāngrénfáng,"N: double-bedded room, twin-bedded room [PAVC-314]"
單人房,单人房,dānrénfáng,N: single-bed room [PAVC-314]
經濟艙,经济舱,jīngjìcāng,N: economy class on a plane or ship [PAVC-314]
頭等艙,头等舱,tóuděngcāng,N: first class on a plane or ship [PAVC-314]
臥舖,卧舖,wòpù,"N: sleeping berth, sleeper [PAVC-314]"
單程票,单程票,dānchéngpiào,N: one-way ticket [PAVC-314]
來回票,来回票,láihuípiào,N: round-trip ticket [PAVC-314]
火山,火山,huǒshān,N: volcano [PAVC-314]
賞花,赏花,shǎnghuā,VO: to enjoy flowers [PAVC-314]
石門水庫,石门水库,Shímén Shuǐkù,"N: water reservoir in Taoyuan, south of Taipei (Shimen Reservoir) [PAVC-314]"
小人國,小人国,Xiǎorénguó,"N: Miniature Land, an amusement park with miniatures of famous landmarks [PAVC-314]"
野生動物,野生动物,yěshēngdòngwù,"N: wild animal, wildlife; (～園) Safari Park; (六福村～園) Liufucun Safari Park near Xinzhu in Taiwan [PAVC-314]"
度假,度假,dùjià,VO: to spend holiday or vacation [PAVC-314]
溪頭,溪头,Xītóu,N: botanical park in central Taiwan (Xitou) [PAVC-314]
阿里山,阿里山,Ālǐshān,N: mountain park in southern Taiwan (Alishan) [PAVC-314]
合歡山,合欢山,Héhuānshān,"N: mountain in central Taiwan, location of the only ski resort (Hehuanshan) [PAVC-314]"
遊樂區,游乐区,yóulèqū,"N: recreational area, (森林～) forest recreational area [PAVC-314]"
日出,日出,rìchū,N: sunrise [PAVC-314]
雲海,云海,yúnhǎi,N: sea of clouds [PAVC-314]
神木,神木,shénmù,"N: divine tree, a particularly old tree [PAVC-314]"
順著,顺著,shùnzhe,"PART: to follow in the direction of, following, along [PAVC-314]"
花蓮,花莲,Huālián,N: city and port in eastern Taiwan (Hualian) [PAVC-314]
熱帶,热带,rèdài,"N: the tropics, tropical area [PAVC-314]"
觀光,观光,guānguāng,"VO: to go on a sight-seeing, to visit, to tour [PAVC-314]"
晚會,晚会,wǎnhuì,N: a party or performance held in the evening (M: 場) [PAVC-401]
禮堂,礼堂,lǐtáng,"N: auditorium, assembly hall [PAVC-401]"
海報,海报,hǎibào,N: poster (M: 張) [PAVC-401]
貼,贴,tiē,"V: to paste, to stick, to glue [PAVC-401]"
舞台,舞台,wǔtái,N: stage (for performance) [PAVC-401]
上台,上台,shàngtái,VO: to appear on stage [PAVC-401]
下台,下台,xiàtái,VO: to step down from the stage [PAVC-401]
光碟,光碟,guāngdié,"N: CD, compact disc (M: 片, 張) [PAVC-401]"
光碟機,光碟机,guāngdiéjī,"N: CD player, a CD-ROM driver (M: 台, 部) [PAVC-401]"
音響,音响,yīnxiǎng,"N: stereo, a hi-fi set (M: 套); audio [PAVC-401]"
響,响,xiǎng,"V: to make a sound, to reverberate [PAVC-401]"
總算,总算,zǒngsuàn,"A: finally, at last [PAVC-401]"
機器,机器,jīqì,"N: machine, machinery (M: 部) [PAVC-401]"
工業革命,工业革命,Gōngyè Gémìng,N: Industrial Revolution [PAVC-401]
代替,代替,dàitì,"V: to replace, to substitute [PAVC-401]"
機器人,机器人,jīqìrén,N: robot [PAVC-401]
修理,修理,xiūlǐ,"V: to repair, to mend [PAVC-401]"
滿頭大汗,满头大汗,mǎntóudàhàn,"IE: (for someone's head) to be covered with big drops of perspiration, bathed in sweat [PAVC-401]"
汗,汗,hàn,"N: sweat, perspiration (M: 滴, 身, 頭) [PAVC-401]"
滴,滴,dī,"M: drop, droplet [PAVC-401]"
出汗,出汗,chūhàn,"VO: to sweat, to perspire [PAVC-401]"
流汗,流汗,liúhàn,"VO: to sweat, to perspire [PAVC-401]"
燈光,灯光,dēngguāng,"N: lamp light, lights; illumination [PAVC-401]"
陽光,阳光,yángguāng,N: sunlight [PAVC-401]
月光,月光,yuèguāng,N: moon light [PAVC-401]
星光,星光,xīngguāng,N: star light [PAVC-401]
鏡子,镜子,jìngzi,N: mirror (M: 面) [PAVC-401]
襯衫,衬衫,chènshān,N: a dress shirt or collared blouse with buttons (M: 件) [PAVC-401]
圓領衫,圆领衫,yuánlǐngshān,"N: T-shirt, collarless shirt (M: 件) [PAVC-401]"
運動衫,运动衫,yùndòngshān,"N: sports shirt, sweatshirt [PAVC-401]"
負責,负责,fùzé,"SV, AV, VO: to be responsible; to be in charge of; be responsible for [PAVC-401]"
責任,责任,zérèn,"N: responsibility, duty [PAVC-401]"
音效,音效,yīnxiào,N: sound effects (one word) [PAVC-401]
音響效果,音响效果,yīnxiǎngxiàoguǒ,N: sound effects (two words) [PAVC-401]
互相,互相,hùxiāng,"A: mutual, mutually [PAVC-401]"
配合,配合,pèihé,"V: to co-ordinate, to be in harmony with [PAVC-401]"
配,配,pèi,"SV, V: to be matching; to match, to fit [PAVC-401]"
配上,配上,pèishàng,"RC: to match, to go with, to be a match for [PAVC-401]"
會長,会长,huìzhǎng,N: president (of an organization) [PAVC-401]
節目單,节目单,jiémùdān,N: program list [PAVC-401]
節目表,节目表,jiémùbiǎo,N: program list [PAVC-401]
服裝,服装,fúzhuāng,"N: costume, garment [PAVC-401]"
美容師,美容师,měiróngshī,"N: cosmetologist, beautician [PAVC-401]"
錄影,录影,lùyǐng,VO: to make a video recording [PAVC-401]
錄音,录音,lùyīn,VO: to make an audio recording [PAVC-401]
錄進去,录进去,lùjìnqù,RC: to be included in a recording [PAVC-401]
洗掉,洗掉,xǐdiào,V: to erase [PAVC-401]
錄下來,录下来,lùxiàlái,RC: to record [PAVC-401]
錄音機,录音机,lùyīnjī,N: tape recorder [PAVC-401]
錄音筆,录音笔,lùyīnbǐ,N: digital voice recorder [PAVC-401]
招待,招待,zhāodài,"V, N: to serve (customers), to entertain, to care for; reception, receptionist [PAVC-401]"
主任,主任,zhǔrèn,"N: director, head [PAVC-401]"
系主任,系主任,xízhǔrèn,N: head of a college department [PAVC-401]
副會長,副会长,fùhuìzhǎng,N: vice president (of an organization) [PAVC-401]
副,副,fù,"AT, M: vice, deputy; measure word for facial expressions, as well as glasses and spectacles [PAVC-401]"
副總統,副总统,fùzǒngtǒng,N: vice president (of a republic) [PAVC-401]
副校長,副校长,fùxiàozhǎng,N: vice president or provost (of a university) [PAVC-401]
忙不過來,忙不过来,mángbúguòlái,"RC: to have more work than one can manage to handle, to be extremely busy [PAVC-401]"
紅包,红包,hóngbāo,"N: red envelope with cash, given as a gift [PAVC-401]"
人事,人事,rénshì,N: personnel (公司的～) [PAVC-401]
發財,发财,fācái,"VO: to make a fortune, to become rich [PAVC-401]"
