Traditional,Simplified,Pinyin,Meaning
節日,节日,jiérì,N: holiday [PAVC-112]
今年,今年,jīnnián,"MA, N (TW): this year [PAVC-112]"
看到,看到,kàndào,V: to see [PAVC-112]
考,考,kǎo,V: to test [PAVC-112]
考試,考试,kǎoshì,"VO, N: to take a test; test, exam [PAVC-112]"
口試,口试,kǒushì,N: oral test [PAVC-112]
輛,辆,liàng,"M: measure for cars, buses, etc. [PAVC-112]"
旅館,旅馆,lǚguǎn,"N: hotel, inn [PAVC-112]"
旅行,旅行,lǚxíng,"V, N: to travel, to take a trip [PAVC-112]"
明年,明年,míngnián,"MA, N (TW): next year [PAVC-112]"
年,年,nián,"N, M: year [PAVC-112]"
歐洲,欧洲,Ōuzhōu,N: Europe [PAVC-112]
期,期,qí,M: measure word for school semesters [PAVC-112]
秋季,秋季,qiūjì,"MA, N (TW): autumn, fall [PAVC-112]"
秋天,秋天,qiūtiān,"MA, N (TW): autumn, fall [PAVC-112]"
去年,去年,qùnián,"MA, N (TW): last year [PAVC-112]"
時間,时间,shíjiān,N: time [PAVC-112]
試,试,shì,V: to try [PAVC-112]
試試看,试试看,shìshìkàn,IE: to try and see [PAVC-112]
夏季,夏季,xiàjì,"MA, N (TW): summer [PAVC-112]"
夏天,夏天,xiàtiān,"MA, N (TW): summer [PAVC-112]"
下雨,下雨,xiàyǔ,VO: to rain [PAVC-112]
